ano,mes,codigo_rnt,cod_mun,cod_dpto,estado_rnt,razon_social_establecimiento,departamento,municipio,categoria,num_emp1,sub_categoria,habitaciones,camas
2024,5,209518,20001,20,ACTIVO,ANA OLIVA TORO MINORTA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,3,7
2024,5,209656,20001,20,ACTIVO,HOTEL VALLENATO,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,10,20
2024,5,210141,20001,20,ACTIVO,TRANSPORTES ATLANTIC EXPRESS,CESAR,VALLEDUPAR,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,3,TRANSPORTE TERRESTRE AUTOMOTOR ESPECIAL,0,0
2024,5,210383,20001,20,ACTIVO,MUSEO EL COCHA MOLINA,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,1,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,5,210889,20001,20,ACTIVO,SPECIALCAR PREMIUM,CESAR,VALLEDUPAR,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,1,TRANSPORTE TERRESTRE AUTOMOTOR ESPECIAL,0,0
2024,5,211024,20001,20,ACTIVO,JUAN CARLOS ARAQUE LINDARTE,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,6
2024,5,211358,20001,20,ACTIVO,TATIANA  ROMERO BEDOYA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,6
2024,6,211549,20001,20,ACTIVO,SERVICIOS ASAD,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,1,OTRO TIPO DE VIVIENDA TURÍSTICA,8,20
2024,6,212075,20001,20,ACTIVO,JULIETH ANDREA LOPEZ FERNANDEZ,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,6
2024,6,212225,20001,20,ACTIVO,SAX INVERSIONES,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,2,AGENCIA DE VIAJES Y DE TURISMO,0,0
